time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,18.7,70,1.1,2025-12-11,0,mild,17.3
2025-12-11 01:00:00,17.9,75,1.8,2025-12-11,1,mild,16.4
2025-12-11 02:00:00,17.2,79,2.0,2025-12-11,2,mild,15.62
2025-12-11 03:00:00,16.8,81,1.8,2025-12-11,3,mild,15.18
2025-12-11 04:00:00,16.4,82,1.8,2025-12-11,4,mild,14.759999999999998
2025-12-11 05:00:00,16.3,81,2.3,2025-12-11,5,mild,14.68
2025-12-11 06:00:00,16.2,81,2.5,2025-12-11,6,mild,14.579999999999998
2025-12-11 07:00:00,17.3,81,2.5,2025-12-11,7,mild,15.68
2025-12-11 08:00:00,20.8,75,2.7,2025-12-11,8,warm,19.3
2025-12-11 09:00:00,23.5,67,5.2,2025-12-11,9,warm,22.16
2025-12-11 10:00:00,25.4,58,6.2,2025-12-11,10,warm,24.24
2025-12-11 11:00:00,27.0,49,6.6,2025-12-11,11,warm,26.02
2025-12-11 12:00:00,28.1,42,6.6,2025-12-11,12,warm,27.26
2025-12-11 13:00:00,28.8,38,7.2,2025-12-11,13,warm,28.04
2025-12-11 14:00:00,29.0,36,6.8,2025-12-11,14,warm,28.28
2025-12-11 15:00:00,28.7,35,6.0,2025-12-11,15,warm,28.0
2025-12-11 16:00:00,27.9,33,4.7,2025-12-11,16,warm,27.24
2025-12-11 17:00:00,25.6,41,2.9,2025-12-11,17,warm,24.78
2025-12-11 18:00:00,23.7,45,3.3,2025-12-11,18,warm,22.8
2025-12-11 19:00:00,22.5,44,2.9,2025-12-11,19,warm,21.62
2025-12-11 20:00:00,21.2,44,1.8,2025-12-11,20,warm,20.32
2025-12-11 21:00:00,20.2,46,2.3,2025-12-11,21,warm,19.279999999999998
2025-12-11 22:00:00,19.5,53,1.3,2025-12-11,22,mild,18.44
2025-12-11 23:00:00,18.7,63,1.1,2025-12-11,23,mild,17.439999999999998
